STUDY,YEAR,IRR,JOURNAL
Al Hoorie ,2018,3,SSLLT
Akiyama & Cunningham,2018,1,CALICO
Avery & Marsden,2019,0,SSLA
Boulton & Cobb,2017,1,LL
Burston,2014,0,ReCall
Derrick,2015,1,TESOLQ
de Vos et al,2018,1,LL
Grundy,2017,0,SLR
Jeon & Yamashita,2014,1,LL
Kang & Han,2015,1,MLJ
Kang et al,2019,1,LTR
Lee et al,2019,1,AL
Avery & Marsden,2019,0,SSLA
"Lee,Jang & Plonsky",2015,4,AL
Li_a,2015,0,AL
Li_b,2016,0,SSLA
Lin,2015,1,LLT
"Marsden,Thompson & Plonsky",2018,4,AP
McAndrews,2019,0,System
Nakanishi,2014,2,TESOLQ
Derrick & Plonsky,2016,2,MLJ
"Plonsky, Marsden et al",2019,3,SLR
Qureshi,2016,1,System
Saito & Plonsky,2019,1,LL
Sakai & Moorman,2018,4,AP
Schenck,2017,0,IRALLT
Shintani,2015,1,AL
"Sok,Kang & Han",2019,1,LTR
"Teimouri,Goetze & Plonsky",2019,4,SSLA
Uchihara & Webb,2019,1,LL
Xu,2019,1,System
Zhang,2019,1,MLJ
Ziegler,2016,1,SSLA
