study.name,dint,SD,id,outcome,time,treatments
Al.Ahm_Al.Jar,0.533733731,0.428681666,1,1,1,2
Al.Ahm_Al.Jar,0.296116599,0.413278124,1,1,4,2
Al.Ahm_Al.Jar,-0.155386371,0.426788118,1,1,1,2
Al.Ahm_Al.Jar,0.131015334,0.438427431,1,1,4,2
Al_Ajmi,3.444226818,0.218206817,2,1,1,2
Al_Ajmi,4.376457433,0.209077056,2,1,2,2
Bitc_Knch_a,0.874010738,0.364433526,3,1,1,1
Bitc_Knch_a,1.285396952,0.397149301,3,1,4,1
Bitc_Knch_a,1.381604308,0.390775443,3,1,1,1
Bitc_Knch_a,0.395443907,0.375763107,3,1,4,1
Bitc_Knch_a,0.684121545,0.386738279,3,1,1,1
Bitc_Knch_a,0.840489804,0.3942791,3,1,4,1
Bitc_Knch_b,0.685256679,0.438743316,4,1,1,1
Bitc_Knch_b,0.284456897,0.347432983,4,1,4,1
Bitc_Knch_b,0.932902039,0.457577522,4,1,1,1
Bitc_Knch_b,0.723050548,0.435234829,4,1,4,1
Bitc_Knch_b,0.260037973,0.347406408,4,1,1,1
Bitc_Knch_b,1.075747788,0.471487973,4,1,4,1
Bitc_Knch_c,2.235800489,0.656511152,5,1,1,1
Bitc_Knch_c,1.285650501,0.524559658,5,1,4,1
Bitc_Knch_c,0.741619418,0.454401096,5,1,4,1
Bitc_Knch_c,1.774779308,0.5072562,5,1,4,1
Bitc_Knch_c,1.527499294,0.478415173,5,1,1,1
Bitc_Knch_c,1.329490266,0.45622375,5,1,4,1
Bitc_Knch_c,1.749524376,0.546916541,5,1,4,1
Bitc_Knch_c,1.402530981,0.504538611,5,1,4,1
Bitc_Knch_c,0.93191144,0.448885357,5,1,1,1
Bitc_Knch_c,2.536171756,0.62867782,5,1,4,1
Bitc_Knch_c,1.982114352,0.552712999,5,1,4,1
Bitc_Knch_c,1.316569345,0.465470122,5,1,4,1
Bitc_Yng_Cmrn,0.659280404,0.343143411,6,1,3,3
Bitc_Yng_Cmrn,-0.493579287,0.370486742,6,2,3,3
Bitc_Yng_Cmrn,-0.515658588,0.347780965,6,3,3,3
Bitc_Yng_Cmrn,-0.697550641,0.354222347,6,1,3,3
Bitc_Yng_Cmrn,0.947639862,0.366156072,6,2,3,3
Bitc_Yng_Cmrn,0.011029969,0.352241136,6,3,3,3
Bonilla.etal,1.246187675,0.297525881,7,1,1,2
Bonilla.etal,0.809034722,0.283366425,7,1,3,2
Bonilla.etal,1.623845361,0.31920244,7,1,1,2
Bonilla.etal,0.922018218,0.281691903,7,1,3,2
Brown,0.557805006,0.232557813,8,1,2,5
Brown,0.593319027,0.231888876,8,1,2,5
Brown,0.41560229,0.222035893,8,2,2,5
Brown,-0.13246521,0.219677391,8,2,2,5
Brown,0.392256498,0.224815599,8,3,2,5
