"study.name","dint","SD","es.type","id","ESL","prof","scope","type","weeks","week.c"
"Bit.KnoA.SHORT",0.685256679,0.438456676,"SHORT",1,1,3,1,1,2,"S"
"Bit.KnoA.SHORT",0.284456897,0.352007617,"SHORT",1,1,3,1,1,2,"S"
"Bit.KnoA.SHORT",0.932902039,0.461759896,"SHORT",1,1,3,1,1,2,"S"
"Bit.KnoA.DEL1",0.723050548,0.43848366,"DEL1",1,1,3,1,1,3,"M"
"Bit.KnoA.DEL1",0.260037973,0.350331887,"DEL1",1,1,3,1,2,3,"M"
"Bit.KnoA.DEL1",1.075747788,0.469380899,"DEL1",1,1,3,1,2,3,"M"
"Bit.KnoB.SHORT",2.235800489,0.662156792,"SHORT",2,1,2,2,1,1,"S"
"Bit.KnoB.SHORT",1.285650501,0.520238206,"SHORT",2,1,2,2,1,1,"S"
"Bit.KnoB.SHORT",0.741619418,0.457482062,"SHORT",2,1,2,2,1,1,"S"
"Bit.KnoB.DEL1",1.774779308,0.508432545,"DEL1",2,1,2,2,1,3,"M"
"Bit.KnoB.DEL1",1.527499294,0.479553644,"DEL1",2,1,2,2,1,3,"M"
"Bit.KnoB.DEL1",1.329490266,0.456816118,"DEL1",2,1,2,2,1,3,"M"
"Bit.KnoB.DEL2",1.749524376,0.546431068,"DEL2",2,1,2,2,1,7,"L"
"Bit.KnoB.DEL2",1.402530981,0.500744852,"DEL2",2,1,2,2,1,7,"L"
"Bit.KnoB.DEL2",0.93191144,0.449176656,"DEL2",2,1,2,2,1,7,"L"
"Bit.KnoC.SHORT",0.874010738,0.366897331,"SHORT",3,1,3,1,1,1,"S"
"Bit.KnoC.SHORT",1.285396952,0.394589434,"SHORT",3,1,3,1,1,1,"S"
"Bit.KnoC.SHORT",1.381604308,0.390483845,"SHORT",3,1,3,1,1,1,"S"
"Bit.KnoC.SHORT..2",1.431494009,0.424730654,"SHORT",3,1,3,1,1,1,"S"
"Bit.KnoC.SHORT..2",1.222271735,0.39718873,"SHORT",3,1,3,1,2,1,"S"
"Bit.KnoC.SHORT..2",0.987349966,0.397160385,"SHORT",3,1,3,1,2,1,"S"
"Bit.KnoC.DEL1",0.395443907,0.374436462,"DEL1",3,1,3,1,1,4,"M"
"Bit.KnoC.DEL1",0.684121545,0.391327911,"DEL1",3,1,3,1,1,4,"M"
"Bit.KnoC.DEL1",0.840489804,0.391514178,"DEL1",3,1,3,1,1,4,"M"
"Bit.KnoC.DEL1..2",2.365080973,0.491801568,"DEL1",3,1,3,1,1,4,"M"
"Bit.KnoC.DEL1..2",1.211820168,0.366874839,"DEL1",3,1,3,1,2,4,"M"
