person_id,gender,Female,audio_vocab_1,audio_vocab_2,audio_vocab_3,audio_vocab_4,audio_vocab_5,audio_vocab_6,ctest_1,ctest_2,ctest_3,ctest_4,ctest_5,ctest_6,dictation_1,dictation_2,dictation_3,dictation_4,dictation_5,dictation_6,elicited_speech_1,elicited_speech_2,elicited_speech_3,elicited_speech_4,elicited_speech_5,elicited_speech_6,text_vocab_1,text_vocab_2,text_vocab_3,text_vocab_4,text_vocab_5,text_vocab_6,text_vocab_7,elicited_speech_7,dictation_7,audio_vocab_7,ctest_7
1,MALE,0,1.544829224,1.633721695,0.470119715,3.048356133,1.633721695,3.048356133,0.904456275,2.197224577,1.386294361,1.673976432,1.76766192,0.810930215,5.091620065,5.091620065,-3.672933382,5.091620065,-16.11809555,-11.16225439,1.832804696,1.065389034,2.391191533,2.272621337,2.510586995,1.687497787,2.385736439,3.684604335,2.31637127,1.966990419,2.238059399,2.128800395,0.685219665,NA,NA,NA,NA
2,MALE,0,3.048356133,3.106649875,3.048356133,3.048356133,1.626949797,1.364739013,16.11809555,16.11809555,16.11809555,2.140066162,1.691676007,16.11809555,5.091620065,5.091620065,0.65308953,1.206474872,-14.14123998,5.091620065,16.11809555,2.26377196,1.123351057,2.872398958,3.37804877,2.829842729,3.799796816,2.431618334,3.684604335,1.967645716,3.741447316,3.799796816,1.776866648,3.227213726,NA,NA,NA
3,FEMALE,1,1.633721695,1.626949797,1.074473797,1.626949797,1.074473797,3.106649875,0.753771802,1.386294361,1.87180218,0.526093098,1.648658622,0.435318071,5.091620065,-9.019599005,-1.497215295,5.091620065,-1.97903485,1.48503689,1.326390673,1.09635293,1.359430343,1.650073464,0.903348164,1.042073074,0.539483747,0.216683467,1.650158167,0.291985706,1.115831854,3.741447316,0.6211273,NA,NA,NA,NA
4,FEMALE,1,3.048356133,1.633721695,1.074473797,1.364739013,1.544829224,-0.027409924,0.223143553,0,-0.06899287,1.223775433,2.639057324,-0.826678574,-6.352820321,5.091620065,5.091620065,-9.114920186,5.091620065,-0.171518086,0.701248642,1.790325417,0.935745971,1.523155996,1.41434476,-16.11809555,-1.36104721,1.967645716,3.684604335,1.147315951,1.147315951,0.667137127,2.427877964,NA,NA,NA,NA
5,MALE,0,-1.662705194,0.61173156,-0.765065957,-4.59511985,3.048356133,1.074473797,0.538996499,-0.993251774,-0.241162057,-0.798507694,16.11809555,0.559615786,-5.512892694,-16.11809555,-2.472849333,-10.10924176,-16.11809555,-16.11809555,1.31300945,1.466567085,0.972977456,1.005042569,0.169003872,1.536008485,2.41845565,-2.144395756,3.778654106,-0.139141906,2.427877964,1.639133976,NA,NA,-13.33927477,NA,NA
6,OTHER,2,0.112267129,-1.662705194,1.633721695,-0.027409924,3.106649875,1.626949797,0.419853846,0.090971779,16.11809555,1.335001069,1.558144621,0.530628253,-16.11809555,5.091620065,-6.481836535,5.091620065,5.091620065,-5.029065415,1.940639523,1.290633622,0.954353312,1.06199509,-16.11809555,2.074749227,2.408079255,1.650158167,1.059389057,3.684604335,1.387316525,1.650158167,NA,NA,-4.12605435,NA,NA
7,MALE,0,0.61173156,-0.661580961,-2.232553319,0.112267129,0.61173156,1.626949797,-0.074107974,0.387765532,1.466337069,0.31365756,0.336472235,-0.074107974,5.091620065,-16.11809555,5.091620065,-16.11809555,-16.11809555,-3.688257706,0.202449468,0.618530896,0.885990045,1.389289728,0.482279975,-0.742250095,2.41845565,1.150654063,-1.960444976,1.650158167,1.639082578,-0.637049509,NA,NA,NA,1.626949797,NA
8,MALE,0,3.048356133,3.106649875,1.544829224,1.364739013,1.633721695,3.048356133,2.014903019,1.223775433,1.519825757,1.386294361,1.704748091,1.049822126,5.091620065,5.091620065,5.091620065,5.091620065,0.995751204,-2.297624838,1.987411778,0.885802698,1.126953829,2.035602207,2.340419391,2.337020597,3.684604335,3.778654106,3.799796816,2.371622852,0.685219665,3.80666251,NA,NA,NA,3.048356133,NA
9,FEMALE,1,1.633721695,3.048356133,3.048356133,3.106649875,1.633721695,1.544829224,2.197224577,0.367724781,16.11809555,1.481604542,16.11809555,16.11809555,5.091620065,5.091620065,5.091620065,5.091620065,1.212457825,-3.310747016,1.530397871,1.744786793,1.561976361,1.835787699,1.886755072,1.692148069,3.741447316,2.41845565,3.778654106,2.371622852,3.799796816,2.238059399,NA,NA,NA,3.106649875,NA
10,FEMALE,1,1.626949797,-1.347429542,0.112267129,-0.027409924,3.048356133,0.112267129,1.029619416,2.351375254,0.051293295,2.036881931,0.451985123,-1.185623667,-0.407918636,-6.626700583,3.021435961,5.091620065,-16.11809555,-2.401376181,1.551735946,1.751803161,1.008547625,3.302622839,2.577595046,1.054594433,0.246330594,1.639133976,1.506041471,-0.139141906,2.427877964,2.408079255,NA,NA,NA,-0.794298141,NA
11,MALE,0,3.106649875,-0.222130243,3.048356133,-0.794298141,1.014477605,1.014477605,2.036881931,0.462623523,1.427116356,0.897941594,2.590267163,1.580450378,5.091620065,-16.11809555,-7.723758578,1.258705248,5.091620065,-1.593073403,2.271391869,1.713727621,1.180991426,1.529756927,1.255668639,-16.11809555,1.387742165,0.489480085,1.506041471,0.92298659,2.238059399,3.799796816,NA,NA,NA,3.048356133,NA
12,MALE,0,1.074473797,1.626949797,-0.027409924,1.074473797,1.544829224,1.364739013,1.25276297,-0.060624621,0.117783037,0.310154929,1.306251654,16.11809555,5.091620065,5.091620065,-9.171015653,0.33074258,-16.11809555,-13.8296085,3.213510886,2.222543632,16.11809555,2.480835739,1.494052395,1.092048254,1.776866648,2.41845565,0.58627419,-0.044966619,0.158535429,-1.37077338,NA,NA,-11.00609126,NA,NA
13,FEMALE,1,3.048356133,3.106649875,3.106649875,3.048356133,3.106649875,3.106649875,2.140066162,2.564949364,16.11809555,16.11809555,16.11809555,16.11809555,0.30217337,5.091620065,5.091620065,5.091620065,5.091620065,5.091620065,16.11809555,3.439575517,6.031373333,16.11809555,16.11809555,16.11809555,3.684604335,3.799796816,2.31637127,3.799796816,3.684604335,3.741447316,NA,NA,5.091620065,NA,NA
14,MALE,0,1.633721695,3.048356133,3.106649875,3.048356133,1.544829224,3.106649875,1.276293467,2.602689689,2.341805809,16.11809555,16.11809555,1.386294361,5.091620065,2.419567531,0.579710332,5.091620065,1.443885679,5.091620065,2.882717105,3.898436471,2.748119087,3.179301604,2.833844989,1.992402296,2.128800395,2.408079255,1.776866648,2.31637127,2.431618334,3.799796816,NA,NA,NA,0.844005574,NA
15,FEMALE,1,0.112267129,0.61173156,-1.662705194,-1.662705194,1.074473797,0.112267129,-0.162518931,0.523248145,-0.071458965,0.762140053,-1.550597412,0.182321555,-16.11809555,5.091620065,-7.816170915,-16.11809555,-5.133212405,-7.943037705,0.508298118,0.696149484,0.844273027,0.937921619,1.297803574,0.786034634,0.246330594,2.371622852,1.639133976,2.41845565,2.41845565,2.31637127,NA,NA,NA,NA,-0.405465108
16,FEMALE,1,3.106649875,1.626949797,1.014477605,-0.794298141,1.633721695,-0.661580961,16.11809555,-0.133531391,1.791759468,0.798507694,1.098612289,0.944461609,5.091620065,5.091620065,5.091620065,-5.291967419,5.091620065,5.091620065,0.289597637,0.556429713,0.835553225,-0.316912635,0.309641713,0.379839522,3.778654106,1.043927185,1.553962935,-0.896181028,-0.55930925,0.146949427,NA,NA,NA,3.048356133,NA
17,FEMALE,1,-0.027409924,-1.68674975,-4.59511985,1.074473797,-4.59511985,0.112267129,0.162518931,0.287682071,-0.344840488,0.893817874,1.421385684,0.546543705,5.091620065,-4.589412306,5.091620065,-11.5189336,-16.11809555,NA,1.31671836,1.159840496,0.973633682,0.954743466,1.479171764,NA,3.741447316,0.678415044,-3.992875051,-0.068966251,0.158535429,NA,NA,NA,NA,NA,NA
18,FEMALE,1,-0.027409924,1.364739013,3.048356133,3.106649875,3.106649875,3.048356133,1.386294361,-0.039220715,2.327277704,1.134979934,2.302585092,1.232143679,5.091620065,5.091620065,5.091620065,5.091620065,5.091620065,5.091620065,0.293629204,0.751178141,-16.11809555,0.538665318,-16.11809555,0.765942786,1.664733708,1.650158167,2.238059399,1.650158167,1.966990419,2.427877964,NA,NA,NA,3.106649875,NA
19,MALE,0,-4.59511985,-1.68674975,1.633721695,1.626949797,1.544829224,-0.027409924,2.639057324,0.087011375,1.01160091,-1.321755839,3.433987204,0.470003628,5.091620065,5.091620065,-0.772444584,5.091620065,-16.11809555,-16.11809555,5.611865253,2.082398617,2.149488762,4.185438827,0.590710946,3.270783585,3.778654106,-4.59511985,0.667137127,-0.64565726,3.741447316,2.408079255,1.157452787,NA,NA,NA,NA
